
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 29.978731 62.600568      1.0    1.0 
 30.273702 62.618794      1.0    1.0 
 28.982559 62.036321      1.0    1.0 
 29.031456 62.175701      1.0    1.0 
 28.991401 61.922416      1.0    1.0 
 29.185892 62.337521      1.0    1.0 
 29.818831 62.578381      1.0    1.0 
 30.283352 62.620728      1.0    1.0 
 29.878942 62.589179      1.0    1.0 
 30.328036 62.620758      1.0    1.0 
 30.074247 62.612024      1.0    1.0 
 29.085763 62.252512      1.0    1.0 
 28.991455 61.912093      1.0    1.0 
 28.985119 61.931997      1.0    1.0 
 28.976136 62.028092      1.0    1.0 
 29.205083 62.356558      1.0    1.0 
 29.898677 62.595184      1.0    1.0 
 30.329478 62.624181      1.0    1.0 
 30.385087 62.623254      1.0    1.0 
 30.376469 62.623784      1.0    1.0 
 28.970152 62.047345      1.0    1.0 
  29.67092 62.553002      1.0    1.0 
 28.967371  62.01976      1.0    1.0 
  29.57999  62.52919      1.0    1.0 
 30.538949 62.616457      1.0    1.0 
 30.095668 62.620744      1.0    1.0 
 28.965316 62.055905      1.0    1.0 
 29.134655 62.315397      1.0    1.0 
 29.026008 62.202617      1.0    1.0 
 30.569521 62.617711      1.0    1.0 
 29.088126 62.278741      1.0    1.0 
 28.958942 62.053604      1.0    1.0 
 28.963901 61.929648      1.0    1.0 
 29.859203 62.598633      1.0    1.0 
 30.478042 62.627754      1.0    1.0 
 30.524021 62.625137      1.0    1.0 
 28.951041 61.975332      1.0    1.0 
 28.992353 61.847531      1.0    1.0 
 28.991656 61.847002      1.0    1.0 
 28.955866 61.932839      1.0    1.0 
 28.947398 62.030799      1.0    1.0 
 28.955847 61.931193      1.0    1.0 
 28.964064  62.11049      1.0    1.0 
 30.604671  62.61983      1.0    1.0 
  30.39319 62.635151      1.0    1.0 
  29.84519 62.601059      1.0    1.0 
 28.942469 62.025164      1.0    1.0 
 28.987402 61.839526      1.0    1.0 
 28.967932 62.135549      1.0    1.0 
 29.696237 62.573662      1.0    1.0 
 30.631852 62.619907      1.0    1.0 
 29.298861 62.438336      1.0    1.0 
 29.343096 62.459576      1.0    1.0 
 28.980301 62.168993      1.0    1.0 
 30.271041 62.640778      1.0    1.0 
 29.606119 62.554339      1.0    1.0 
 30.205312 62.640243      1.0    1.0 
 28.944801 61.920022      1.0    1.0 
 30.325166 62.641961      1.0    1.0 
 29.092946 62.308827      1.0    1.0 
 29.008759 61.791414      1.0    1.0 
 30.346361 62.642764      1.0    1.0 
 28.976155 61.839348      1.0    1.0 
 30.353582 62.643309      1.0    1.0 
 28.936083 61.938854      1.0    1.0 
 30.620284 62.626635      1.0    1.0 
 29.057466 62.278693      1.0    1.0 
